7105;TSPAN6
8813;DPM1
57147;SCYL3
55732;C1orf112
2268;FGR
3075;CFH
2519;FUCA2
2729;GCLC
4800;NFYA
90529;STPG1
57185;NIPAL3
81887;LAS1L
22875;ENPP4
6405;SEMA3F
1080;CFTR
54467;ANKIB1
1595;CYP51A1
889;KRIT1
5893;RAD52
572;BAD
51056;LAP3
4267;CD99
9957;HS3ST1
26;AOC1
23072;HECW1
8379;MAD1L1
3927;LASP1
29916;SNX11
55365;TMEM176A
4074;M6PR
90293;KLHL13
56603;CYP26B1
3382;ICA1
79007;DBNDD1
57679;ALS2
843;CASP10
8837;CFLAR
7035;TFPI
55471;NDUFAF7
10181;RBM5
6542;SLC7A2
381;ARF5
23098;SARM1
26073;POLDIP2
23129;PLXND1
204;AK2
952;CD38
2288;FKBP4
23028;KDM1A
10180;RBM6
84254;CAMKK1
5965;RECQL
55610;CCDC132
126393;HSPB6
115703;ARHGAP33
4706;NDUFAB1
5166;PDK4
10165;SLC25A13
7982;ST7
996;CDC27
3052;HCCS
1856;DVL2
64063;PRSS22
5976;UPF1
8935;SKAP2
292;SLC25A5
55013;CCDC109B
3207;HOXA11
5439;POLR2J
56919;DHX33
4222;MEOX1
221981;THSD7A
3980;LIG3
79657;RPAP3
6296;ACSM3
81691;AC004381.6
57019;CIAPIN1
56928;SPPL2B
80256;FAM214B
51226;COPZ2
5577;PRKAR2B
10943;MSL3
1387;CREBBP
9256;BZRAP1
6936;GCFC2
84058;WDR54
54677;CROT
55904;KMT2E
57414;RHBDD2
25998;IBTK
7748;ZNF195
23077;MYCBP2
26224;FBXL3
3683;ITGAL
5164;PDK2
3675;ITGA3
7543;ZFX
3920;LAMP2
79893;GGNBP2
51573;GDE1
55049;C19orf60
114881;OSBPL7
26022;TMEM98
9020;MAP3K14
6833;ABCC8
11276;SYNRG
54972;TMEM132A
163;AP2B1
10127;ZNF263
6376;CX3CL1
64847;SPATA20
8913;CACNA1G
51330;TNFRSF12A
4293;MAP3K9
5898;RALA
55971;BAIAP2L1
80853;KDM7A
2115;ETV1
55750;AGK
221;ALDH3B1
55001;TTC22
57157;PHTF2
9855;FARP2
79017;GGCT
10926;DBF4
3475;IFRD1
1352;COX10
9569;GTF2IRD1
54623;PAF1
27072;VPS41
9912;ARHGAP44
60528;ELAC2
85477;SCIN
414;ARSD
8228;PNPLA4
79602;ADIPOR2
57787;MARK4
8842;PROM1
115098;CCDC124
5048;PAFAH1B1
1770;DNAH9
9703;KIAA0100
8522;GAS7
79090;TRAPPC6A
6329;SCN4A
54879;ST7L
113000;RPUSD1
64285;RHBDF1
55692;LUC7L
9254;CACNA2D2
8938;BAIAP3
115939;TSR3
9091;PIGQ
57585;CRAMP1L
7005;TEAD3
6401;SELE
55735;DNAJC11
29116;MYLIP
5689;PSMB1
3720;JARID2
6792;CDKL5
57172;CAMK1G
65220;NADK
9940;DLEC1
9265;CYTH3
53616;ADAM22
6856;SYPL1
1534;CYB561
9043;SPAG9
1951;CELSR3
10157;AASS
55200;PLEKHG6
51188;SS18L2
84954;MPND
4257;MGST1
1407;CRY1
4784;NFIX
6482;ST3GAL1
64386;MMP25
9235;IL32
5310;PKD1
23542;MAPK8IP2
9862;MED24
23221;RHOBTB2
54497;HEATR5B
7095;SEC62
6224;RPS20
7812;CSDE1
9690;UBE3C
5980;REV3L
10178;TENM1
199870;FAM76A
80342;TRAF3IP3
29954;POMT2
51534;VTA1
51085;MLXIPL
9031;BAZ1B
10048;RANBP9
83932;SPRTN
51603;METTL13
8798;DYRK4
7756;ZNF207
7384;UQCRC1
83930;STARD3NL
928;CD9
9918;NCAPD2
25900;IFFO1
2696;GIPR
51533;PHF7
56920;SEMA3G
11188;NISCH
23166;STAB1
80199;FUZ
3192;HNRNPU
7752;ZNF200
920;CD4
10233;LRRC23
695;BTK
3077;HFE
22955;SCMH1
2534;FYN
3097;HIVEP2
6924;TCEB3
11313;LYPLA2
1185;CLCN6
9902;MRC2
10867;TSPAN9
55727;BTBD7
9546;APBA3
54903;MKS1
51099;ABHD5
3730;KAL1
26993;AKAP8L
54799;MBTD1
51096;UTP18
54476;RNF216
54902;TTC19
5725;PTBP1
9066;SYT7
23395;LARS2
5286;PIK3C2A
5329;PLAUR
54443;ANLN
58525;WIZ
23637;RABGAP1
1634;DCN
54814;QPCTL
5536;PPP5C
23177;CEP68
8491;MAP4K3
7305;TYROBP
57146;TMEM159
672;BRCA1
2067;ERCC1
933;CD22
7869;SEMA3B
51360;MBTPS2
4007;PRICKLE3
4057;LTF
2137;EXTL3
60481;ELOVL5
240;ALOX5
8284;KDM5D
57658;CALCOCO1
55148;UBR7
11183;MAP4K5
30845;EHD3
5704;PSMC4
23324;MAN2B2
5010;CLDN11
51629;SLC25A39
9961;MVP
51667;NUB1
5238;PGM3
112611;RWDD2A
1195;CLK1
55703;POLR3B
23357;ANGEL1
9604;RNF14
1774;DNASE1L1
1663;DDX11
50865;HEBP1
9052;GPRC5A
10046;MAMLD1
923;CD6
10460;TACC3
23376;UFL1
23649;POLA2
23144;ZC3H3
823;CAPN1
55;ACPP
4190;MDH1
10463;SLC30A9
10903;MTMR11
1355;COX15
440193;CCDC88C
10138;YAF2
10771;ZMYND11
7454;WAS
637;BID
9782;MATR3
64132;XYLT2
23386;NUDCD3
3670;ISL1
55349;CHDH
53832;IL20RA
55830;GLT8D1
27032;ATP2C1
80725;SRCIN1
3479;IGF1
92745;SLC38A5
79917;MAGIX
10928;RALBP1
22902;RUFY3
1272;CNTN1
6556;SLC11A1
25937;WWTR1
8540;AGPS
63932;CXorf56
477;ATP1A2
55622;TTC27
147948;ZNF582
23584;VSIG2
23187;PHLDB1
1591;CYP24A1
56981;PRDM11
57586;SYT13
6591;SNAI2
972;CD74
3082;HGF
54764;ZRANB1
23154;NCDN
25960;GPR124
55734;ZFP64
4331;MNAT1
23034;SAMD4A
864;RUNX3
4361;MRE11A
58473;PLEKHB1
1992;SERPINB1
6683;SPAST
9369;NRXN3
114879;OSBPL5
9716;AQR
2273;FHL1
51507;RTFDC1
55655;NLRP2
57210;SLC45A4
9921;RNF10
55778;ZNF839
64429;ZDHHC6
57476;GRAMD1B
6050;RNH1
4719;NDUFS1
9821;RB1CC1
23071;ERP44
211;ALAS1
330;BIRC3
11215;AKAP11
51022;GLRX2
6617;SNAPC1
51071;DERA
11171;STRAP
50619;DEF6
51177;PLEKHO1
2730;GCLM
23304;UBR2
30846;EHD2
55635;DEPDC1
25901;CCDC28A
58528;RRAGD
3298;HSF2
51230;PHF20
8630;HSD17B6
10062;NR1H3
1890;TYMP
29781;NCAPH2
10953;TOMM34
11231;SEC63
23633;KPNA6
7431;VIM
100533107;RTEL1-TNFRSF6B
355;FAS
8635;RNASET2
960;CD44
3755;KCNG1
56895;AGPAT4
57823;SLAMF7
11119;BTN3A1
4285;MIPEP
5583;PRKCH
3459;IFNGR1
11285;B4GALT7
9047;SH2D2A
7444;VRK2
7133;TNFRSF1B
55591;VEZT
5452;POU2F2
65980;BRD9
6642;SNX1
9519;TBPL1
56938;ARNTL2
9774;BCLAF1
55334;SLC39A9
286;ANK1
51106;TFB1M
9135;RABEP1
3149;HMGB3
23279;NUP160
578;BAK1
22807;IKZF2
2896;GRN
51306;FAM13B
57514;ARHGAP31
10002;NR2E3
55166;CENPQ
6301;SARS
8498;RANBP3
5926;ARID4A
7260;TSSC1
10908;PNPLA6
8100;IFT88
56052;ALG1
55596;ZCCHC8
10061;ABCF2
54480;CHPF2
57554;LRRC7
2530;FUT8
55236;UBA6
9846;GAB2
535;ATP6V0A1
8554;PIAS1
9497;SLC4A7
321;APBA2
5606;MAP2K3
79645;EFCAB1
9168;TMSB10
28990;ASTE1
25897;RNF19A
8504;PEX3
11345;GABARAPL2
4653;MYOC
26751;SH3YL1
84908;FAM136A
7414;VCL
23604;DAPK2
8439;NSMAF
159;ADSS
7077;TIMP2
5981;RFC1
55773;TBC1D23
8452;CUL3
9172;MYOM2
10858;CYP46A1
26009;ZZZ3
9099;USP2
27175;TUBG2
51121;RPL26L1
